Kategória;Szolgáltatás;Ár (Ft)
1. Diagnosztikai vizsgálatok és konzultációk;Részletes állapotfelmérés, konzultáció, kezelési terv és várható költségek felmérése;10.000
1. Diagnosztikai vizsgálatok és konzultációk;Kontrollvizsgálat (félévente ajánlott);5.000
1. Diagnosztikai vizsgálatok és konzultációk;Góckutatás (CT felvétel szükséges hozzá);5.000
1. Diagnosztikai vizsgálatok és konzultációk;Kismamák részére végzett szűrővizsgálat;10.000
1. Diagnosztikai vizsgálatok és konzultációk;Panoráma röntgen;8.000
1. Diagnosztikai vizsgálatok és konzultációk;Intraorális / kis röntgenfelvétel;2.000 – 5.000
1. Diagnosztikai vizsgálatok és konzultációk;CBCT (3D képalkotás);20.000 – 30.000
2. Szájhigiéniai kezelések és fogágyterápia;Ultrahangos fogkő-eltávolítás és polírozás (állcsontonként);8.000
2. Szájhigiéniai kezelések és fogágyterápia;Homokfúvásos elszíneződés-eltávolítás (állcsontonként);10.000
2. Szájhigiéniai kezelések és fogágyterápia;Zárt kürett (kvadráns szerint);25.000 – 40.000
2. Szájhigiéniai kezelések és fogágyterápia;Nyitott kürett (lebenyes, foganként);20.000
2. Szájhigiéniai kezelések és fogágyterápia;Fogak sínezése mozgathatóság esetén (foganként);15.000
2. Szájhigiéniai kezelések és fogágyterápia;Parodontális állapotfelmérés;15.000
2. Szájhigiéniai kezelések és fogágyterápia;Ínyformázás, lágyrészsebészet (gingivectomia, plastika);15.000 – 50.000
2. Szájhigiéniai kezelések és fogágyterápia;Koronahosszabbító beavatkozás;30.000 – 50.000
3. Konzerváló és esztétikai fogászati kezelések;Egyszerű tömés (front/premoláris);18.000 – 25.000
3. Konzerváló és esztétikai fogászati kezelések;Egyszerű tömés (moláris fogon);24.000
3. Konzerváló és esztétikai fogászati kezelések;Kétfelszínű tömés (premoláris/moláris);25.000 – 28.000
3. Konzerváló és esztétikai fogászati kezelések;Háromfelszínű tömés (premoláris/moláris);28.000 – 30.000
3. Konzerváló és esztétikai fogászati kezelések;Frontfog élpótlás;20.000
3. Konzerváló és esztétikai fogászati kezelések;Barázdazárás;6.000
3. Konzerváló és esztétikai fogászati kezelések;Ideiglenes tömések (rövid vagy hosszú távra);2.000 – 10.000
3. Konzerváló és esztétikai fogászati kezelések;Pulpasapkázás / tömés alábélelése;5.000 – 10.000
3. Konzerváló és esztétikai fogászati kezelések;Esztétikai héj (kompozit anyagból);70.000
3. Konzerváló és esztétikai fogászati kezelések;Fogászati betét – kompozit;85.000
3. Konzerváló és esztétikai fogászati kezelések;Fogászati betét – E.max préskerámia;95.000
3. Konzerváló és esztétikai fogászati kezelések;Üvegszálas megerősítés;20.000
3. Konzerváló és esztétikai fogászati kezelések;Bioblock típusú gyökércsap;40.000 – 45.000
3. Konzerváló és esztétikai fogászati kezelések;Belső fogfehérítés (alkalmanként);15.000 – 20.000
3. Konzerváló és esztétikai fogászati kezelések;Professzionális fogfehérítés;40.000 – 80.000
4. Gyermekfogászat;Tejfog tömése vagy barázdazárása;10.000
4. Gyermekfogászat;Tejfog eltávolítása;5.000
4. Gyermekfogászat;Tejfog ecsetelése, simítása;3.000
4. Gyermekfogászat;Tejfog megnyitása;5.000
5. Gyökérkezelés (Endodoncia);Fog megnyitása (trepanálás);10.000
5. Gyökérkezelés (Endodoncia);Csatornák gépi feltágítása(1-3 cs);15.000 – 25.000
5. Gyökérkezelés (Endodoncia);Ideiglenes gyökértömés (Ca(OH)₂ alapú);12.000 – 16.000
5. Gyökérkezelés (Endodoncia);Végleges gyökértömés;15.000 – 30.000
5. Gyökérkezelés (Endodoncia);Gyökértömés eltávolítása (revízió);10.000 / csatorna
5. Gyökérkezelés (Endodoncia);Csap eltávolítása;15.000
5. Gyökérkezelés (Endodoncia);Rövid üvegszálas egyedi csap (SFRC);40.000
6. Rögzített fogpótlások (koronák, hidak);Fémkerámia korona;70.000 – 80.000
6. Rögzített fogpótlások (koronák, hidak);Cirkónium korona;85.000 – 100.000
6. Rögzített fogpótlások (koronák, hidak);E.max préskerámia korona;110.000
6. Rögzített fogpótlások (koronák, hidak);Teljes kerámia héj;150.000 – 160.000
6. Rögzített fogpótlások (koronák, hidak);Gradia / Solidex korona vagy inlay;15.000 – 20.000
6. Rögzített fogpótlások (koronák, hidak);Ideiglenes korona (rendelői / labor);8.000 / 3.000
6. Rögzített fogpótlások (koronák, hidak);Régi korona eltávolítása;5.000
6. Rögzített fogpótlások (koronák, hidak);Csonkfelépítés kompozittal;40.000
6. Rögzített fogpótlások (koronák, hidak);Teleszkópos koronarendszer;18.000
6. Rögzített fogpótlások (koronák, hidak);Akril fogsorba integrált arany vagy fémháló;16.000
6. Rögzített fogpótlások (koronák, hidak);Digitális próbapótlás modellen;5.000 / fog
