Kategória;Szolgáltatás;Ár (Ft)
1. Konzultációk;Konzultáció, részletes állapotfelmérés, egyéni kezelési és költségterv készítés;12.000
1. Konzultációk;Kontrollvizsgálat;5.000
1. Konzultációk;Góckutatás (CT-felvétel szükséges hozzá);5.000
1. Konzultációk;Szűrővizsgálat kismamáknak;10.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);Kis röntgen (kis felvétel);5.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);Panoráma röntgen;7.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);CT 1 fogról;18.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);CT 4-8 fogról;20.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);CT fogakról és az állkapocsízületről;20.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);Teljes CT alsó és felső fogakról;23.000
2. Röntgen felvételek és vizsgálatok (Carestream 2025 csúcskészülék: kiváló képminőség, minimális sugárterhelés);Arcüreg CT (fogak nélkül);15.000
3. Szájhigiéniai kezelések és fogágyterápia;Ultrahangos fogkő-eltávolítás és polírozás ;20.000
3. Szájhigiéniai kezelések és fogágyterápia;Homokfúvásos elszíneződés-eltávolítás (állcsontonként);8.000
3. Szájhigiéniai kezelések és fogágyterápia;Zárt kürett (foganként);20.000
3. Szájhigiéniai kezelések és fogágyterápia;Nyitott kürett (lebenyes, foganként);20.000
3. Szájhigiéniai kezelések és fogágyterápia;Fog rögzítése sínnel (foganként);15.000
3. Szájhigiéniai kezelések és fogágyterápia;Parodontális állapotfelmérés;15.000
3. Szájhigiéniai kezelések és fogágyterápia;Ínyformázás, lágyrészsebészet (gingivectomia, plastika);20.000 – 50.000
3. Szájhigiéniai kezelések és fogágyterápia;Koronahosszabbító beavatkozás;30.000 – 50.000
3. Szájhigiéniai kezelések és fogágyterápia;Éjszakai harapásemelő fogvédő (bruxizmusra);20.000
3. Szájhigiéniai kezelések és fogágyterápia;Sínkészítés otthoni fogfehérítő anyaghoz;20.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Egyszerű tömés (front/premoláris);18.000 – 25.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Egyszerű tömés (moláris);25.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Kétfelszínű tömés (premoláris/moláris);25.000 – 28.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Háromfelszínű tömés (premoláris/moláris);28.000 – 30.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Elülső fog élpótlása;22.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Barázdazárás;10.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Ideiglenes tömés (rövid/hosszú távú);3.000 – 10.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Tömés alábélelése / pulpasapkázás;5.000 – 10.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Esztétikai direkt héj (kompozit);70.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Belső fogfehérítés (alkalmanként);20.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Professzionális fogfehérítés (rendelői);50.000
4. Konzerváló és esztétikai kezelések (Prémium Omnichroma és Gradia anyagokkal a természetes hatásért);Kompozit inlay (rendelői fogbetét);50.000
5. Gyermekfogászat;Állapotfelmérés és szájápolási tanácsadás gyerekeknek;15.000
5. Gyermekfogászat;Tejfog tömése vagy barázdazárása;12.000
5. Gyermekfogászat;Tejfog eltávolítás;10.000
5. Gyermekfogászat;Tejfog ecsetelése, simítása;5.000
5. Gyermekfogászat;Tejfog megnyitása (gyulladáscsökkentése);5.000
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Fog megnyitása (trepanálás);10.000
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Csatornák gépi tágítása;10.000 / csatorna
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Ideiglenes gyökértömés (Ca (OH)₂ alapú);5.000 / csatorna
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Végleges gyökértömés;10.000 / csatorna
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Gyökértömés eltávolítása (revízió);10.000 / csatorna
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Csap eltávolítása;15.000
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Rövid üvegszálas egyedi csap (SFRC);40.000
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Üvegszálas csap;30.000
6. Gyökérkezelés (Digitálisan támogatott gyökérkezelés: CBCT + Endomotor);Bioblock típusú gyökércsap;40.000 – 45.000
7. Rögzített fogpótlások;Fémkerámia korona;70.000
7. Rögzített fogpótlások;Cirkónium kerámia korona;90.000
7. Rögzített fogpótlások;Cirkónium Monolitikus korona;90.000
7. Rögzített fogpótlások;Préskerámia korona e-max;110.000
7. Rögzített fogpótlások;Préskerámia kerámia héj e-max;120.000
7. Rögzített fogpótlások;Inlay (e-max);80.000
7. Rögzített fogpótlások;Onlay (e-max);90.000
7. Rögzített fogpótlások;Ideiglenes korona (labori);15.000
7. Rögzített fogpótlások;Régi korona eltávolítása;5.000
7. Rögzített fogpótlások;Csonkfelépítés kompozittal;35.000
7. Rögzített fogpótlások;Akril fogsorba integrált háló;20.000
8. Kivehető fogpótlások;1 fog kivehető pótlás (Klipsz);40.000
8. Kivehető fogpótlások;4 fog kivehető pótlás (Klipsz);70.000
8. Kivehető fogpótlások;Teljes kivehető akril fogsor;200.000
8. Kivehető fogpótlások;Rugalmas kivehető fogsor;300.000
8. Kivehető fogpótlások;Fémlemezes kivehető fogsor;230.000
8. Kivehető fogpótlások;Csúsztató rendszer;Esettől függ
8. Kivehető fogpótlások;Ideiglenes akril pótlás kapcsokkal;30.000 – 80.000
8. Kivehető fogpótlások;Fogsor alábélelése;30.000
8. Kivehető fogpótlások;Kivehető fogpótlás javítása;30.000
9. Szájsebészeti beavatkozások;Egyszerű fogeltávolítás(1 gyökér-2-3) ;15.000 – 25.000
9. Szájsebészeti beavatkozások;Bölcsességfog eltávolítás (műtét nélkül);20.000 – 30.000
9. Szájsebészeti beavatkozások;Műtéti foghúzás;40.000 – 60.000
9. Szájsebészeti beavatkozások;Arcüregzárás, ciszták eltávolítása;30.000 – 50.000
9. Szájsebészeti beavatkozások;Tályog megnyitása, szövet eltávolítása;30.000
9. Szájsebészeti beavatkozások;Gyökércsúcs eltávolítása (rezekció);45.000
9. Szájsebészeti beavatkozások;Pericoronitis kezelése (Bölcsességfog gyulladás csökkentése);15.000
9. Szájsebészeti beavatkozások;Gyulladt seb utókezelése;15.000
